test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m,seed
1.1,non_refractive,0.1999863146748,0.8945630776952944,1.00333310524458,1.1824180883607724,1.8966756493207828,42
1.1,refractive,0.02691242245150031,0.4021905950407239,1.0004485403741916,1.1824180883607724,1.8966756493207828,42
1.2,non_refractive,0.1342231158339211,0.7283931874446158,1.0022370519305654,1.1824180883607724,1.8966756493207828,42
1.2,refractive,0.02329598433793568,0.3783283614115421,1.0003882664056323,1.1824180883607724,1.8966756493207828,42
1.3,non_refractive,0.1252124799978276,0.5812681710488695,1.0020868746666305,1.1824180883607724,1.8966756493207828,42
1.3,refractive,0.024673756860182274,0.4040236969648737,1.000411229281003,1.1824180883607724,1.8966756493207828,42
1.4,non_refractive,0.1475493135344579,0.46561001495373333,1.0024591552255744,1.1824180883607724,1.8966756493207828,42
1.4,refractive,0.02625880926747485,0.391620429136172,1.0004376468211247,1.1824180883607724,1.8966756493207828,42
1.5,non_refractive,0.17889607499280505,0.4886948102791669,1.00298160124988,1.1824180883607724,1.8966756493207828,42
1.5,refractive,0.03248305657926706,0.4216233982078978,1.000541384276321,1.1824180883607724,1.8966756493207828,42
1.7,non_refractive,0.24628529398415322,0.4988327756343454,1.004104754899736,1.1824180883607724,1.8966756493207828,42
1.7,refractive,0.03554555053143298,0.3980114223020598,1.0005924258421905,1.1824180883607724,1.8966756493207828,42
2.0,non_refractive,0.3469972042285092,0.5765167554814562,1.005783286737142,1.1824180883607724,1.8966756493207828,42
2.0,refractive,0.033930862085200054,0.38459292696424396,1.0005655143680867,1.1824180883607724,1.8966756493207828,42
2.5,non_refractive,0.5711354888943238,0.9214560287598771,1.0095189248149055,1.1824180883607724,1.8966756493207828,42
2.5,refractive,0.04980181656772511,0.4137408672391035,1.0008300302761288,1.1824180883607724,1.8966756493207828,42
1.1,non_refractive,0.22186450707756122,0.8610228355454682,1.003697741784626,1.2169216660941733,1.9727428619424974,43
1.1,refractive,0.024151411661317904,0.4003990749978528,1.0004025235276885,1.2169216660941733,1.9727428619424974,43
1.2,non_refractive,0.19075250949774245,0.7443423150029969,1.0031792084916291,1.2169216660941733,1.9727428619424974,43
1.2,refractive,0.02227228219377124,0.37708394562729985,1.0003712047032296,1.2169216660941733,1.9727428619424974,43
1.3,non_refractive,0.1561749706805655,0.5700545427252456,1.0026029161780095,1.2169216660941733,1.9727428619424974,43
1.3,refractive,0.02388110903739395,0.4030701899685222,1.0003980184839565,1.2169216660941733,1.9727428619424974,43
